user_id,local_date_str,datetime,type,generation_kwh,nominal_power_w
ES0184000000051513CQ0FA000,2023-05-30,2023-05-30T11:00:00,b11,10.5,20000
ES0184000000051513CQ0FA000,2023-05-30,2023-05-30T12:00:00,b11,15.83,20000
ES0184000000051513CQ0FA000,2023-05-30,2023-05-30T13:00:00,b11,17.02,20000
ES0184000000051513CQ0FA000,2023-05-30,2023-05-30T14:00:00,b11,17.07,20000
ES0184000000051513CQ0FA000,2023-05-30,2023-05-30T15:00:00,b11,14.23,20000
ES0184000000051513CQ0FA000,2023-05-30,2023-05-30T16:00:00,b11,4.23,20000
ES0184000000051513CQ0FA000,2023-05-30,2023-05-30T17:00:00,b11,7.97,20000
ES0184000000051513CQ0FA000,2023-05-30,2023-05-30T18:00:00,b11,6.77,20000
ES0184000000051513CQ0FA000,2023-05-30,2023-05-30T19:00:00,b11,3.44,20000
ES0184000000051513CQ0FA000,2023-05-30,2023-05-30T20:00:00,b11,0.44,20000
ES0184000000051513CQ0FA000,2023-05-30,2023-05-30T21:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-31,2023-05-30T22:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-31,2023-05-30T23:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-31,2023-05-31T00:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-31,2023-05-31T01:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-31,2023-05-31T02:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-31,2023-05-31T03:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-31,2023-05-31T04:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-31,2023-05-31T05:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-31,2023-05-31T06:00:00,b11,0.39,20000
ES0184000000051513CQ0FA000,2023-05-31,2023-05-31T07:00:00,b11,1.93,20000
ES0184000000051513CQ0FA000,2023-05-31,2023-05-31T08:00:00,b11,3.18,20000
ES0184000000051513CQ0FA000,2023-05-31,2023-05-31T09:00:00,b11,3.91,20000
ES0184000000051513CQ0FA000,2023-05-31,2023-05-31T10:00:00,b11,3.62,20000
ES0184000000051513CQ0FA000,2023-05-31,2023-05-31T11:00:00,b11,11.42,20000
ES0184000000051513CQ0FA000,2023-05-31,2023-05-31T12:00:00,b11,17.15,20000
ES0184000000051513CQ0FA000,2023-05-31,2023-05-31T13:00:00,b11,15.14,20000
ES0184000000051513CQ0FA000,2023-05-31,2023-05-31T14:00:00,b11,15.11,20000
ES0184000000051513CQ0FA000,2023-05-31,2023-05-31T15:00:00,b11,17.49,20000
ES0184000000051513CQ0FA000,2023-05-31,2023-05-31T16:00:00,b11,14.46,20000
ES0184000000051513CQ0FA000,2023-05-31,2023-05-31T17:00:00,b11,11.42,20000
ES0184000000051513CQ0FA000,2023-05-31,2023-05-31T18:00:00,b11,7.18,20000
ES0184000000051513CQ0FA000,2023-05-31,2023-05-31T19:00:00,b11,2.8,20000
ES0184000000051513CQ0FA000,2023-05-31,2023-05-31T20:00:00,b11,0.3,20000
ES0184000000051513CQ0FA000,2023-05-31,2023-05-31T21:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-06-01,2023-05-31T22:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-06-01,2023-05-31T23:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-06-01,2023-06-01T00:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-06-01,2023-06-01T01:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-06-01,2023-06-01T02:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-06-01,2023-06-01T03:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-06-01,2023-06-01T04:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-06-01,2023-06-01T05:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-06-01,2023-06-01T06:00:00,b11,0.37,20000
ES0184000000051513CQ0FA000,2023-06-01,2023-06-01T07:00:00,b11,1.97,20000
ES0184000000051513CQ0FA000,2023-06-01,2023-06-01T08:00:00,b11,3.47,20000
ES0184000000051513CQ0FA000,2023-06-01,2023-06-01T09:00:00,b11,6.13,20000
ES0184000000051513CQ0FA000,2023-06-01,2023-06-01T10:00:00,b11,11.74,20000
ES0184000000051513CQ0FA000,2023-06-01,2023-06-01T11:00:00,b11,14.76,20000
ES0184000000051513CQ0FA000,2023-06-01,2023-06-01T12:00:00,b11,17.08,20000
ES0184000000051513CQ0FA000,2023-06-01,2023-06-01T13:00:00,b11,18.01,20000
ES0184000000051513CQ0FA000,2023-06-01,2023-06-01T14:00:00,b11,17.97,20000
ES0184000000051513CQ0FA000,2023-06-01,2023-06-01T15:00:00,b11,17.62,20000
ES0184000000051513CQ0FA000,2023-06-01,2023-06-01T16:00:00,b11,15.93,20000
ES0184000000051513CQ0FA000,2023-06-01,2023-06-01T17:00:00,b11,13.64,20000
ES0184000000051513CQ0FA000,2023-06-01,2023-06-01T18:00:00,b11,8.2,20000
ES0184000000051513CQ0FA000,2023-06-01,2023-06-01T19:00:00,b11,3.57,20000
ES0184000000051513CQ0FA000,2023-06-01,2023-06-01T20:00:00,b11,0.79,20000
ES0184000000051513CQ0FA000,2023-06-01,2023-06-01T21:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-06-02,2023-06-01T22:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-06-02,2023-06-01T23:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-06-02,2023-06-02T00:00:00,b11,0.0,20000
